customer_id,customer_name,gender,email,phone,city,state,country,registration_date
C00001,Anvi Konda,Female,liamchaudry@example.net,8196001338,Kishanganj,Gujarat,India,2025-05-02
C00002,Thomas Sen,Male,abeer26@example.com,2351161559,Varanasi,Telangana,India,2025-07-25
C00003,Kritika Brar,Male,janaki93@example.net,910341316475,Uluberia,Kerala,India,2024-10-17
C00004,Ekbal Garg,Male,nihalshere@example.com,8350305641,Tezpur,Tamil Nadu,India,2024-01-17
C00005,Meghana Shanker,Male,alkadewan@example.org,8849696532,Mysore,Tripura,India,2024-05-11
C00006,Michael Dutta,Other,ybhatt@example.com,7848018451,Raebareli,Goa,India,2023-07-23
C00007,Xiti Gokhale,Other,misrayashica@example.net,912528809570,Mirzapur,Uttarakhand,India,2024-10-11
C00008,Dalbir Khosla,Male,chadavedika@example.org,2278248963,Bijapur,Madhya Pradesh,India,2025-11-02
C00009,Raksha Varughese,Male,pdara@example.org,915098393010,Jabalpur,Arunachal Pradesh,India,2026-05-27
C00010,Yoshita Khanna,Male,vedika38@example.org,9973763116,Bhusawal,Maharashtra,India,2025-12-30
C00011,Guneet Bhat,Female,znori@example.org,913387262473,Mango,Uttar Pradesh,India,2024-10-25
C00012,Chandresh Zachariah,Other,chanderwarjas@example.org,7736026064,Baranagar,Maharashtra,India,2026-01-01
C00013,Mohammed Gupta,Female,teerth09@example.net,500978820,Gaya,Assam,India,2025-07-04
C00014,Netra Dar,Other,balveerbumb@example.com,9985435346,Dewas,Manipur,India,2025-03-15
C00015,Aditya Shanker,Other,borahtanay@example.net,2513542784,Begusarai,Jharkhand,India,2024-05-13
C00016,Krish Lalla,Other,chhabranachiket@example.com,9353487401,Bally,Arunachal Pradesh,India,2026-03-19
C00017,Adweta Edwin,Male,jsane@example.org,911280598262,Aizawl,Kerala,India,2023-06-05
C00018,Ishita Kade,Female,harshilpandya@example.net,9232260256,Shimoga,Goa,India,2026-02-11
C00019,Lavanya Barad,Female,mkapadia@example.com,4330365414,Danapur,Madhya Pradesh,India,2025-10-11
C00020,Ayaan DAlia,Other,pranav94@example.org,919655698169,Rohtak,Arunachal Pradesh,India,2025-06-15
C00021,Zinal Yohannan,Other,janujasankar@example.org,5951484656,Begusarai,Chhattisgarh,India,2025-07-17
C00022,Owen Mitra,Other,tacharya@example.com,916995777387,Guwahati,Jharkhand,India,2023-12-29
C00023,Girik Keer,Female,umang32@example.org,913791769367,Latur,Chhattisgarh,India,2024-12-17
C00024,Hredhaan Sandal,Other,patrickvasa@example.com,918317278895,Pudukkottai,Uttarakhand,India,2025-05-21
C00025,Sanaya Dutt,Male,qsengupta@example.org,4873471434,Imphal,Nagaland,India,2025-07-29
C00026,Vihaan Rajagopal,Female,tanishbhatt@example.com,5876036690,Morena,Andhra Pradesh,India,2023-08-29
C00027,Madhavi Saini,Other,vinayakanda@example.com,7065627298,Singrauli,Odisha,India,2026-03-31
C00028,Fiyaz Sangha,Other,triyagopal@example.org,6537556464,Nandyal,Andhra Pradesh,India,2025-02-09
C00029,Inaya Kapur,Other,bariaazaan@example.org,910923271937,Arrah,Goa,India,2025-08-30
C00030,Nihal Mukhopadhyay,Male,baldevika@example.net,6631931491,Sri Ganganagar,Nagaland,India,2025-03-27
C00031,Ekapad Toor,Other,advik67@example.org,5726284987,Junagadh,Uttarakhand,India,2024-09-13
C00032,Ekantika Korpal,Female,mallickshravya@example.org,9965075273,Rampur,Karnataka,India,2025-08-11
C00033,Advaith Varughese,Male,frederickkhurana@example.net,7837770143,Latur,Jharkhand,India,2024-04-03
C00034,Urvashi Wali,Male,pavani85@example.com,7444313518,Nellore,Gujarat,India,2025-05-29
C00035,Barkha Chaudhry,Male,chamankaran@example.com,914082400842,Kota,West Bengal,India,2025-08-19
C00036,Upasna Srinivas,Male,loak@example.org,7116719022,Guwahati,Haryana,India,2023-06-15
C00037,Upkaar Virk,Female,cseshadri@example.com,6499091334,Sangli-Miraj & Kupwad,Haryana,India,2023-10-09
C00038,Naksh Agate,Male,sseshadri@example.net,4034471349,Khandwa,Bihar,India,2023-12-09
C00039,Amaira Dhar,Other,bhasinnoah@example.com,9471746488,Bahraich,Assam,India,2025-01-18
C00040,Ekantika Krishna,Female,chandveer@example.net,9049027874,Bhimavaram,Maharashtra,India,2025-03-18
C00041,Gavin Singhal,Female,nilima55@example.net,912567468071,Nizamabad,Karnataka,India,2025-04-27
C00042,Yoshita Agarwal,Other,,8760385977,Kurnool,Himachal Pradesh,India,2023-10-07
